timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-21 19:54:24,0,0,0,0,0,,,,
2017-07-21 19:54:25,1,0,0,4,5,,,sags,
2017-07-21 19:54:26,0,0,0,0,0,,,,
2017-07-21 19:54:27,0,0,0,0,0,,,,
2017-07-21 19:54:28,0,0,0,0,0,,,,
2017-07-21 19:54:29,0,0,0,0,0,,,,
2017-07-21 19:54:30,0,0,0,0,0,,,,
2017-07-21 19:54:31,0,0,0,0,0,,,,
2017-07-21 19:54:32,1,0,0,4,7,,,hour,
2017-07-21 19:54:33,0,0,0,0,0,,,,
2017-07-21 19:54:34,0,0,0,0,0,,,,
2017-07-21 19:54:35,0,0,0,0,0,,,,
2017-07-21 19:54:36,1,0,0,4,6,,,grid,
2017-07-21 19:54:37,1,0,0,5,6,,,doris,
2017-07-21 19:54:38,0,0,0,0,0,,,,
2017-07-21 19:54:39,0,0,0,0,0,,,,
2017-07-21 19:54:40,0,0,0,0,0,,,,
2017-07-21 19:54:41,0,0,0,0,0,,,,
2017-07-21 19:54:42,1,0,0,4,4,,,roun,
2017-07-21 19:54:43,1,0,0,3,3,,,ass,
2017-07-21 19:54:44,0,0,0,0,0,,,,
2017-07-21 19:54:45,0,0,0,0,0,,,,
2017-07-21 19:54:46,1,0,0,5,7,,,grids,
2017-07-21 19:54:47,0,0,0,0,0,,,,
2017-07-21 19:54:48,0,0,0,0,0,,,,
2017-07-21 19:54:49,0,0,0,0,0,,,,
2017-07-21 19:54:50,0,0,0,0,0,,,,
2017-07-21 19:54:51,0,0,0,0,0,,,,
2017-07-21 19:54:52,0,0,0,0,0,,,,
2017-07-21 19:54:53,1,0,0,3,4,,,dos,
2017-07-21 19:54:54,0,0,0,0,0,,,,
2017-07-21 19:54:55,0,0,0,0,0,,,,
2017-07-21 19:54:56,0,0,0,0,0,,,,
2017-07-21 19:54:57,0,0,0,0,0,,,,
2017-07-21 19:54:58,1,0,0,3,4,,,sod,
2017-07-21 19:54:59,0,0,0,0,0,,,,
2017-07-21 19:55:00,0,1,0,0,0,,ku7sgxda,G,p4f3glnm
2017-07-21 19:55:01,0,0,0,0,0,,,,
2017-07-21 19:55:02,0,1,1,0,0,,ku7sgxda,A,p4f3glnm
2017-07-21 19:55:03,0,1,1,0,0,,p4f3glnm,H,ku7sgxda
2017-07-21 19:55:04,0,0,1,0,0,H,p4f3glnm,,ku7sgxda
2017-07-21 19:55:05,0,0,0,0,0,,,,
2017-07-21 19:55:06,0,0,0,0,0,,,,
2017-07-21 19:55:07,0,0,0,0,0,,,,
2017-07-21 19:55:08,0,0,0,0,0,,,,
2017-07-21 19:55:09,0,0,0,0,0,,,,
2017-07-21 19:55:10,1,0,0,3,6,,,rah,
2017-07-21 19:55:11,0,0,0,0,0,,,,
2017-07-21 19:55:12,0,0,0,0,0,,,,
2017-07-21 19:55:13,0,0,0,0,0,,,,
2017-07-21 19:55:14,0,0,0,0,0,,,,
2017-07-21 19:55:15,0,0,0,0,0,,,,
2017-07-21 19:55:16,0,0,0,0,0,,,,
2017-07-21 19:55:17,0,0,0,0,0,,,,
2017-07-21 19:55:18,0,0,0,0,0,,,,
2017-07-21 19:55:19,0,0,0,0,0,,,,
2017-07-21 19:55:20,1,0,0,3,3,,,ass,
2017-07-21 19:55:21,0,0,0,0,0,,,,
2017-07-21 19:55:22,0,0,0,0,0,,,,
2017-07-21 19:55:23,0,0,0,0,0,,,,
2017-07-21 19:55:24,0,0,0,0,0,,,,
2017-07-21 19:55:25,0,0,0,0,0,,,,
2017-07-21 19:55:26,0,0,0,0,0,,,,
2017-07-21 19:55:27,0,0,0,0,0,,,,
2017-07-21 19:55:28,0,0,0,0,0,,,,
2017-07-21 19:55:29,0,0,0,0,0,,,,
2017-07-21 19:55:30,0,0,0,0,0,,,,
2017-07-21 19:55:31,1,0,0,3,7,,,hog,
2017-07-21 19:55:32,0,0,0,0,0,,,,
2017-07-21 19:55:33,0,0,0,0,0,,,,
2017-07-21 19:55:34,0,0,0,0,0,,,,
2017-07-21 19:55:35,0,0,0,0,0,,,,
2017-07-21 19:55:36,0,0,1,0,0,A,ku7sgxda,,p4f3glnm
2017-07-21 19:55:37,1,0,0,3,3,,,ron,
2017-07-21 19:55:38,0,0,0,0,0,,,,
