timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-27 20:45:03,0,0,0,0,0,,,,
2017-07-27 20:45:04,1,0,1,4,6,L,bica5cnd,tabs,h9em0uts
2017-07-27 20:45:05,1,0,0,4,4,,,tate,
2017-07-27 20:45:06,2,0,0,6,12,,,ken-tab,
2017-07-27 20:45:07,0,0,0,0,0,,,,
2017-07-27 20:45:08,0,0,0,0,0,,,,
2017-07-27 20:45:09,1,0,0,4,4,,,note,
2017-07-27 20:45:10,0,0,0,0,0,,,,
2017-07-27 20:45:11,1,0,0,3,3,,,not,
2017-07-27 20:45:12,1,0,0,4,9,,,derk,
2017-07-27 20:45:13,0,0,0,0,0,,,,
2017-07-27 20:45:14,1,0,0,3,3,,,net,
2017-07-27 20:45:15,0,0,0,0,0,,,,
2017-07-27 20:45:16,1,0,0,4,4,,,nets,
2017-07-27 20:45:17,1,0,0,3,3,,,sei,
2017-07-27 20:45:18,0,0,0,0,0,,,,
2017-07-27 20:45:19,1,0,0,3,6,,,hel,
2017-07-27 20:45:20,0,0,0,0,0,,,,
2017-07-27 20:45:21,0,0,0,0,0,,,,
2017-07-27 20:45:22,1,0,0,5,5,,,tease,
2017-07-27 20:45:23,1,0,0,4,6,,,butt,
2017-07-27 20:45:24,1,0,0,4,5,,,rend,
2017-07-27 20:45:25,1,0,0,4,6,,,beta,
2017-07-27 20:45:26,0,0,0,0,0,,,,
2017-07-27 20:45:27,0,0,0,0,0,,,,
2017-07-27 20:45:28,1,0,0,5,6,,,rends,
2017-07-27 20:45:29,0,0,0,0,0,,,,
2017-07-27 20:45:30,2,0,0,10,12,,,state-baste,
2017-07-27 20:45:31,0,0,0,0,0,,,,
2017-07-27 20:45:32,0,0,0,0,0,,,,
2017-07-27 20:45:33,3,0,0,18,23,,,sacred-bastes-states,
2017-07-27 20:45:34,0,0,0,0,0,,,,
2017-07-27 20:45:35,0,1,1,0,0,,bica5cnd,B,h9em0uts
2017-07-27 20:45:36,0,0,0,0,0,,,,
2017-07-27 20:45:37,2,0,1,7,7,B,bica5cnd,tent-net,h9em0uts
2017-07-27 20:45:38,1,0,0,4,5,,,dern,
2017-07-27 20:45:39,0,0,0,0,0,,,,
2017-07-27 20:45:40,0,0,0,0,0,,,,
2017-07-27 20:45:41,3,0,0,16,23,,,suites-kern-cadets,
2017-07-27 20:45:42,0,0,0,0,0,,,,
2017-07-27 20:45:43,2,0,0,8,13,,,bel-cadet,
2017-07-27 20:45:44,0,0,0,0,0,,,,
2017-07-27 20:45:45,1,0,0,3,3,,,ton,
2017-07-27 20:45:46,0,0,0,0,0,,,,
2017-07-27 20:45:47,1,0,0,3,3,,,ten,
2017-07-27 20:45:48,0,0,3,0,0,E-T-U,0g1vpmuv-0g1vpmuv-0g1vpmuv,,4ft3yddt-4ft3yddt-v7hqx6y9
2017-07-27 20:45:49,1,0,0,6,8,,,traces,
2017-07-27 20:45:50,1,0,0,3,5,,,ace,
2017-07-27 20:45:51,1,0,0,4,9,,,derk,
2017-07-27 20:45:52,1,0,0,6,8,,,carets,
2017-07-27 20:45:53,0,0,0,0,0,,,,
2017-07-27 20:45:54,0,0,0,0,0,,,,
2017-07-27 20:45:55,0,0,0,0,0,,,,
2017-07-27 20:45:56,1,0,0,4,4,,,tone,
2017-07-27 20:45:57,2,0,0,10,14,,,recast-cast,
2017-07-27 20:45:58,0,0,0,0,0,,,,
2017-07-27 20:45:59,0,0,0,0,0,,,,
2017-07-27 20:46:00,2,0,0,6,8,,,but-nes,
2017-07-27 20:46:01,1,0,0,4,6,,,butt,
2017-07-27 20:46:02,0,0,0,0,0,,,,
2017-07-27 20:46:03,1,1,0,3,4,,dfpx5x7p,D-des,h9em0uts
2017-07-27 20:46:04,2,0,0,9,9,,,astute-res,
2017-07-27 20:46:05,0,0,0,0,0,,,,
2017-07-27 20:46:06,0,0,0,0,0,,,,
2017-07-27 20:46:07,1,0,0,4,4,,,tent,
2017-07-27 20:46:08,2,0,0,8,10,,,stabs-net,
2017-07-27 20:46:09,0,0,0,0,0,,,,
2017-07-27 20:46:10,2,0,0,11,11,,,tents-states,
2017-07-27 20:46:11,0,0,0,0,0,,,,
2017-07-27 20:46:12,0,0,0,0,0,,,,
2017-07-27 20:46:13,0,0,0,0,0,,,,
2017-07-27 20:46:14,1,0,0,3,3,,,sen,
2017-07-27 20:46:15,0,0,0,0,0,,,,
2017-07-27 20:46:16,1,0,0,5,7,,,beaut,
2017-07-27 20:46:17,0,0,0,0,0,,,,
2017-07-27 20:46:18,0,0,0,0,0,,,,
2017-07-27 20:46:19,0,0,0,0,0,,,,
2017-07-27 20:46:20,1,0,0,3,3,,,ten,
2017-07-27 20:46:21,1,0,0,7,10,,,redacts,
2017-07-27 20:46:22,0,0,0,0,0,,,,
2017-07-27 20:46:23,1,0,0,4,6,,,bent,
2017-07-27 20:46:24,1,0,0,5,7,,,abuse,
2017-07-27 20:46:25,1,0,0,4,6,,,tube,
2017-07-27 20:46:26,1,0,0,6,8,,,abuses,
2017-07-27 20:46:27,0,1,0,0,0,,dfpx5x7p,R,h9em0uts
2017-07-27 20:46:28,1,0,0,3,5,,,tub,
2017-07-27 20:46:29,1,0,0,7,10,,,scarted,
2017-07-27 20:46:30,1,0,0,3,5,,,bet,
2017-07-27 20:46:31,1,0,0,3,5,,,cut,
2017-07-27 20:46:32,0,0,0,0,0,,,,
2017-07-27 20:46:33,0,0,0,0,0,,,,
2017-07-27 20:46:34,0,0,0,0,0,,,,
2017-07-27 20:46:35,1,0,0,7,7,,,statues,
2017-07-27 20:46:36,1,0,0,3,3,,,uno,
2017-07-27 20:46:37,1,0,0,4,8,,,sken,
2017-07-27 20:46:38,1,0,0,4,6,,,cuts,
2017-07-27 20:46:39,0,0,0,0,0,,,,
2017-07-27 20:46:40,0,0,0,0,0,,,,
2017-07-27 20:46:41,0,0,0,0,0,,,,
2017-07-27 20:46:42,0,0,0,0,0,,,,
