session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,5,5,4,demographic,Demographic_Condensed,1502214713,48,37,False
1,5,5,5,instructions_anagrams,Introduction,1502214725,12,37,False
1,5,5,6,instructions_anagrams,JoinTeamWaitPage,1502214773,48,37,False
1,5,5,7,instructions_anagrams,TeamSummary,1502214786,13,37,False
1,5,5,8,instructions_anagrams,DifiIndexBefore,1502214817,31,37,False
1,5,5,9,instructions_anagrams,InstructionsPhase1,1502214949,132,37,False
1,5,5,10,instructions_anagrams,InstructionsPhase1_Quiz,1502215067,118,37,False
1,5,5,11,anagrams,WaitPage,1502215077,10,26,False
1,5,5,12,anagrams,Anagrams,1502215381,304,26,True
1,5,5,13,anagrams,ResultsWaitPage,1502215382,1,26,False
1,5,5,14,anagrams,Results,1502215398,16,26,False
1,5,5,15,anagrams,DifiIndexAfter,1502215412,14,26,False
1,5,5,16,ruse,Introduction,1502215419,7,37,False
1,5,5,17,ruse,OpinionPage,1502215440,21,37,False
1,5,5,18,ruse,WaitPage,1502215440,0,37,False
1,5,5,19,ruse,Results,1502215444,4,37,False
1,5,5,20,instructions_pgg,Introduction,1502215456,12,37,False
1,5,5,21,instructions_pgg,InstructionsPhase2,1502215485,29,37,False
1,5,5,22,instructions_pgg,InstructionsPhase2_Quiz,1502215530,45,37,False
1,5,5,23,public_goods,WaitPage,1502215530,0,37,False
1,5,5,24,public_goods,Contribute,1502215565,35,37,False
1,5,5,25,public_goods,ResultsWaitPage,1502215576,11,37,False
1,5,5,27,public_goods,DifiIndex,1502215593,17,37,False
1,5,5,28,public_goods,Results,1502215605,12,37,False
1,5,5,29,demographic_detailed,SurveyConsent,1502215615,10,37,False
1,5,5,30,demographic_detailed,Demographic,1502215950,335,37,False
1,5,5,31,demographic_detailed,Results,1502215956,6,37,False
1,5,5,32,conclusion,Results,1502215983,27,37,False
1,6,6,1,welcome,Introduction,1502214666,26,37,False
1,6,6,2,demographic,Consent,1502214685,19,37,False
1,6,6,4,demographic,Demographic_Condensed,1502214710,25,37,False
1,6,6,5,instructions_anagrams,Introduction,1502214718,8,37,False
1,6,6,6,instructions_anagrams,JoinTeamWaitPage,1502214773,55,37,False
1,6,6,7,instructions_anagrams,TeamSummary,1502214791,18,37,False
1,6,6,8,instructions_anagrams,DifiIndexBefore,1502214822,31,37,False
1,6,6,9,instructions_anagrams,InstructionsPhase1,1502214963,141,37,False
